Text,
Chất lượng OK nhưng mặt sau tivi bụi bẩn ,
Giao hàng  nhanh cẩn  thận   hướng dẫn tận tình  good ,
Sản phẩm  tốt   giao hàng  nhanh   hài lòng ,
Màn ảnh đẹp âm thanh nghe tốt ,
rất rất hài lòng cảm ơn tiki nhiều cung cách phục vụ tốt ,
1 sao cho tiki giao hàng cực nhanh   đặt tối hôm qua sáng nay đã giao   Loa ổn trong tầm giá thấp Led  ổn   sau 15p test nhạc thì nghe trong  trẻo   bass bình thường k đặc biệt lắm Nguồn usb nhưng k có dock kèm theo Đóng Gói chắc chắn Giá thấp như này thì ổn rồi Mua về trang trí cho góc PC thì đẹp miễn bàn  Done ,
Trước khi mua mọi người nên lưu ý: 1 Đây là loa mức giá rẻ được bảo hành 12 tháng thì khá là đáng mua 2 Chất lượng âm  ổn   tốt trong tầm giá 3 Âm bass có thể cải thiện bằng EQ nhé 4 Thực sự quá là  tiện   nút chỉnh ẩm lượng chính  giữa   bên phải có 2 lỗ cắm tai nghe  kiểu như sẽ tiện cho ai cần cắm tai nghe mà không cần phải cắm vào phía sau thùng máy Tính năng này quá quá là tiện và cực yêu loại loa này  5 Loa thiết kế nhỏ  gọn   chỉ phù hợp cho ai đặt bàn trước màn hình và thích sự tiện lợi 6 Chất âm trung tính Không thiên dải nào cả Với tầm giá này để nghe vi tính không phải là hay nhất Mà là tiện  nhất   đẹp với cá nhân mình và nó cho trải nghiệm tiện lợi là chính ,
bọc cẩn thận mình dùng cũng đc tầm 1  tuần   dùng cá nhân cũng không mở max loa nên thấy chất lượng cũng không có vấn đề rè gì cả có vặn to nhỏ ở giữa cũng tiện và có nút cắm thêm tai nghe mic trên loa luôn ,
Thiết kế tốt Hai bên có hai đèn LED RGB khá bắt  mắt   có nút tắt/mở đèn nhưng không có nút chỉnh hiệu ứng nên hơi tiếc Chất ấm ổn trong tầm  giá   thiếu  bass   tạm chấp nhận được khi dùng để nghe nhạc trẻ hay xem phim ,
Sản phẩm đúng như mô  tả   mình đặt mua ngày 26/08/2020 do Tiki Trading phân phối nhưng sao trên sản phẩm lại dán tem ngày 03/05/2020 Tiki xem giải thích cho mình với được không  ,
Loa rất  đẹp   đèn led đổi 7  màu   tắt mở led được Bảo hành chính hãng 1  năm   mở khoảng 80% nghe good Phòng 30m2 nghe vẫn tốt    ,
Hàng không nguyên  zin   khui hộp các dây giắc cắm không gọn gàng như  mới   tem bảo hành thì dán chồng lên nhau     có vẻ như hàng dùng rồi hoặc hàng lỗi đã sửa lại ,
Chất âm dưới trung bình Mình mua để phát nhạc ở Shop nên chấp nhận  được   ai mua để bản thân nghe nhạc thì nên thêm chút tiền mua loa có tên tuổi  chút   ví dụ  LG   với giá này không đòi hỏi cao được ,
Mới dùng đc có 3 ngày thì loa hư mất rồi :  2 ngày đầu nghe  tốt   nhưng đến ngày thứ 3 thì loa bắt đầu rè và chập chờn rồi hư hẳn Giờ chỉ có thể nghe qua lỗ cắm tai nghe của loa ,
loa dùng ổn nhưng mình đã thử cài thêm phần mềm tinh chỉnh âm thanh vào thì nghe hay hơn rất  nhiều   các dải âm thanh k bị đè vào nhau quá nhiều nói chung cho 5 sao khá hài lòng ,
không hỗ trợ xách lên tầng trên khi so với mua trung tâm điện máy giá mềm máy tốt ai đặt máy giặt tầng trên thì luu ý tự mang lên ,
Tạm ổn bluetooth thì ban đầu kết nối mấy lần mới đc nhưng từ sau nếu bật bluetooth ở đt trước thì tự động kết nối Bắt âm tạm ổn Phù hợp giá tiền ,
Hát nghe rất ok ,
lần thứ 2 dùng và vẫn hài lòng - bạn nên nua thêm cái loa rẻ tiền  ngoài   loại có dây nối đeo người tầm 700k của Sony cho rẻ để bắt mic k dây này - với các MC chuyên nghiệp có mic 3 5mm để nối vào tăng âm - đeo cả ngày k bị đau tai - dùng liên tục đc trên 4h cho 2 ca học của  mình   sạc tầm 3 4h và khi đầy sẽ ngắt đèn - bạn cẩn thận đứt dây chỗ phần tiếp xúc 2 đầu nhé mình bị đứt dây do mắc vào thứ khác nên đành mua lại cái 2 - nói chung vì đây là lần thứ 2 mua nên mình vẫn thích dùng ,
chất lượng rất tốt đạt yêu cầu tiêu chuẩn ngoại hình đẹp xứng đáng nhận được 5 sao phải chi hỗ trợ củ sạc nữa thì tuyệt vời ,
âm thanh rất  nhỏ   chỉ bằng 1/5 giọng nói bình thường mình cần đổi cái khác ,
Mình mua về nhưng nói không  rõ   đổi máy khác như thế nào nhỉ ,
Tốt hơn mong đợi Cho shop 5 sao ,
 Gọn   nhẹ! ,
Mình được tặng mic  này   bất lợi khi tới gần loa thì bị kêu  to   nhưng tránh loa ra thì âm thanh  ấm   rõ ràng và ổn định Dùng liên tục 3 ngày đào tạo sắp tới mình review thêm ,
Tiki giao hàng  nhanh   hàng mới còn nguyên hộp Giá thấp so với trang khác khoảng 400k Hàng xài rất  tốt   Panasonic thì nút chỉnh nhiệt độ chỉ cố định 3 mức không như những hãng khác nên hơi khó để chỉnh để có nhiệt độ vừa ý Do ở tỉnh nên không được hỗ trợ lắp  đặt   nhờ có chút kiến thức về điện nên mình tự  lắp   góp ý Tiki khoản  này   đối với khách hàng ở tỉnh nên có giảm giá chút ít hay tặng coupon để họ khỏi cảm thấy mình bị thiệt thòi Mình mua hàng hơn  tháng   đã xài  thử   nhìn chung ok 5* ,
Giao hàng trễ cộng thêm việc lắp đặt không chuyên nghiệp làm mình rất bực bội Cả ngày thứ 7 ở nhà để chờ đợi nhận hàng và dẫn người lắp đặt lên  làm   cuối cùng là nói qua nói lại cho đến hết ngày và máy vẫn còn nằm y thinh chưa đụng tới Mua máy và nhận máy cả ngày rồi bây giờ vẫn k được dùng Chán cách tiki làm việc thực sự ,
NHỜ TIKI GIẢI THICH  GIÙM   SAO HÀNG  NEW   FULL  BOX   MÀ MÌNH THẤY CÓ NƯỚC TRONG MÁY KO  NHIỀU   CHỈ ĐỦ LÀM ƯỚT LUÔN SỔ HƯỚNG DẪN SỬ DỤNG KHI MÌNH KHUI HÀNG  P/S : NẾU MỖI MÁY ĐƯỢC CHÍNH TIKI TEST TRƯỚC KHI GIAO CHO KHÁCH HÀNG THÌ YÊN TÂM RÔI  TUY NHIÊN LẮP ĐẶT  XONG   MỌI CHỨC NĂNG MÁY NƯỚC NÓNG HOẠT ĐỘNG BÌNH THƯỜNG ,
Hàng chuẩn  100%   đầy đủ phụ kiện Mình chọn Panasonic vì có ELCB nằm tách rời độc  lập   và bình đun bằng đồng có nối đất tăng tính an toàn Mua cho mẹ và con trai nhỏ nên mình quan tâm nhất là độ an toàn Tuy là dòng không bơm nhưng chỗ mình nước rất mạnh nên không cần thiết 5 sao vì tiêu chí an toàn nhé ! ,
Máy chỉ có 3 chế độ  nóng   mức 1 thì không đủ  nóng   2 thì nóng  quá   3 thì quá nóng luôn Máy cũ của mình cũng Panasonic mà có thể tuỳ chỉnh mức nóng tuỳ ý ,
hàng đẹp gói cẩn thận lần này nhân viên liên hệ lắp đặt sớm ,
Bảo hành 2 năm nhưng Không biết kích hoạt bảo hành từ ngày  nào   4500kw xài rất ok ,
Đóng gói cẩn  thận   giao hàng  nhanh   máy chạy  tốt   nóng nhanh dễ sử dụng ,
đáng đồng  tiền   sẽ tiếp tục ủng hộ Tiki nếu có nhu cầu ,
Đóng gói cẩn  thận   giao  nhanh   có tem bảo hành đầy đủ ,
Nhân viên giao hàng không có hướng dẫn và trong quá trình giao tiền tôi đang xem hàng và quên mất hoá đơn giao hàng Nhân viên ấy vẫn không giao hoá đơn cho tôi Tôi có nhắn hỏi TiKi là đã kích hoạt bảo hành cho tôi  chưa   nhưng chưa thấy Tiki trả lời Tôi gọi lên công ty LG thì họ bảo tivi tôi mua chưa kích hoạt bảo hành Giờ tôi phải làm sao đây Tiki  ,
Tivi giá  tốt   chất  lượng   xài hệ điều hành webOS nên hơi khác so với những hiệu  khác   sẽ hơi khó sử dụng đối với người không rành công nghệ   ,
Hàng mang đến ngày thứ 4 mà không có người đến lắp  đặt   không thông báo bảo hành sản phẩm Không có sự liên hệ từ tiki ,
Tiki đóng gói mình rất hài lòng Sản phẩm cũng ổn Giao hàng trước so với lịch Nhưng lâu hơn so với mình nghĩ ,
đặt hàng hồi tối sáng la có rất hài lòng    nhưng không có kèm remot thông minh theo máy rất là thất vọng ,
Chất lượng  tốt   và nhân viên bán hàng và giao hàng rất nhiệt tình ,
dạo này tiki giao hàng lâu thiệt mấy lần trc đâu có thế nản ,
Âm thanh nghe rất  tốt   HD trông xem cũng rất đẹp ,
Ổn trong tầm giá ,
Hàng dùng ổn định ,
Ý khách muốn mua màu trắng hoặc trắng ngà nhìn hình thì giống như trắng dù xám thì cũng xám trắng     bên giao hàng thu tiền xong 3 ngày sau thợ bấm dây đai khui ra thì ra màu xám đen thui     gọi cho chăm sóc holine thì bảo là không đổi được     xem thử 1 món hàng gần 10tr đồng mà hờ hợt không có 1 cuộc gọi thăm hỏi trước khi giao hàng cho chính xác cho khách cũng không có thật tình mua mà không vui chút nào  Rút kinh nghiệm sẽ không dám mua đồ điện tử trên chợ TiKi như thế này ,
Hàng  tốt   sấy đồ giặt máy giặt khô  ráo   không  nhăn   đúng theo giờ trên màn  hình   sấy đồ giặt tay thì lâu hơn khoảng 1 tiếng ,
Tiki đã giao  hàng   nhưng không có hỗ trợ lắp đặt  Giờ mua  xong   để trong góc chưa lắp lên để dùng được ,
Hài lòng   hình ảnh nét đẹp rất đáng tiền ,
Chua sử dung  nhiều   nhưng thấy ổn ,
Máy sử dụng đơn  giản   có khá nhiều chế độ  giặt   thực tế chỉ sử dụng 4-5 là đủ Tiếng ồn là 67dB nhưng thực tế không quá  lớn   có thể cài ứng dụng Sound Meter trên điện thoại để đo thực  địa   nếu máy nào quá ồn thì gọi đơn vị bảo hành  công ty Bình  Minh   có thông tin trên thẻ bảo hành  đến điều chỉnh lại chắc là sẽ ổn Việc lắp đặt rất đơn giản nên mình đề nghị Tiki lấy chi phí cử người đến lắp đặt làm quà tặng 1  giảm giá, hoặc 2  gói lắp đặt để nhiều gia đình có thể sử dụng hơn 
máy mới  đẹp   giao hàng  nhanh   sấy đồ khô luôn không cần phơi ngay cả quần jean dày  à   giá lại rất hạt dẻ so với số ký và chất  lượng   sẽ ủng hộ tiki dài  dài   nhân viên giao hàng và lắp đặt đều rất vui  vẻ   dễ thương ,
Tiki giao hang đúng lịch  hẹn   máy chạy  tốt   mẫu mã đẹp Tuy  nhiên   Tiki không có dịch vụ lắp đặt Hàng giao 2 ngày không thấy ai liên hệ lắp đặt Do máy sấy không phải tốn công lắp đặt  nhiều   nen nhà mình tự xử luôn ,
Lắp đặt dễ Có thể tự làm Sấy ổn  thời tiết mién Bắc và nhà có con nhỏ quả là sự lựa chọn tuyệt vời với giá tiền hợp lý Đồ  thơm   cảm giác không hại đồ ,
Máy sấy mất thời gian khá lâu và khô không  đều   mặc dù có lần mình chỉ bỏ 3 cái khăn tắm và chọn đúng chương  trình   nhưng khi lấy ra vẫn có cái chưa khô hẳn ,
Giao máy giặt máy sấy nặng vài chục kg mà chỉ giao đến  cửa   không đưa lên lầu cho khách hàng Rất không hải lòng với tiki ,
Giá thành rẻ so với thương hiệu Mình ở  HN   nên đợt ra tết tận dụng tối đa Lắp đặt cũng rất đơn giản ,
Sấy tốt Khi lắp nhớ báo tiếp  đất   không thì lâu lâu có cảm giác bị giật nhẹ Tiếp đất cho an toàn ,
sấy  ok   đồ  khô   có điều khăn tắm sao không khô lắm nhỉ lọc đc bụi vải nữa ,
máy chạy  tốt   dễ sử  dụng   lắp đặt giao hàng  tốt   cẩn  thận   vote 5 sao ,
Tủ lạnh  to   nhiều ngăn  chứa   êm không gây  ồn   giao hàng nhanh trưa đặt chiều nhận  hàng   nhân viên cửa hàng và nhân viên giao hàng thân  thiện   vui vẻ Mình rất hài lòng Cảm ơn Gia Khang và Tiki ,
Hàng chất lượng tốt Chuyển nhanh Với giá 16T tủ Sharp  Thailand  là giá  tốt   tuy có lên hơn  1 2T  so với cách đây 3 tháng ,
đóng hơn 300k tiền phụ phí hàng cồng  kềnh   nvien giao hàng vẫn gọi đến bảo tự mang lên phòng  chung cư  THẤT VỌNG với tiki ,
m luôn ủng hộ tiki mua hàng rất nhiều lần trên tiki giá rẻ hơn thị trường rất nhiều mà sp ok ,
Một chút tiếc khi về nhà đã bị  lỗi   phải gọi sharp đến kiểm tra! Kết quả bị cong ống đồng! ,
Tủ lạnh quá to để được nhiều đồ     nước đá thì dư  xài   cần phải có ghế mới lây được đồ ớt ngăn trên ,
Nhân viên tiki nhiệt  tình thân  thiện sản phẩm ok với tầm  giá sẽ  tiếp tục ủng hộ tiki! ,
Giao nhận nhanh và tốtp Bền thì chưa rõ nhưng tủ ổn về thẩm mỹ ,
Giao hàng nhanh  chóng   sản phẩm như quảng  cáo   tủ chạy  êm    mát   làm đá  nhanh   hình thức  đẹp   ngăn tủ tiện dụng ,
Nhân viên giao hàng nhiệt  tình   giao hàng rất  nhanh   sáng mua chiều giao ,
1 Ưu điểm - Giao hàng nhanh - Hàng chính  hãng   nguyên đai nguyên kiện  chuẩn hơn cả ngoài siêu thị điện máy :    - Giấy tờ đầy đủ gồm: Hóa đơn  đỏ   Phiếu bảo hành - Máy giặt sạch gồm các chế độ thời gian + nhiệt độ + vòng vắt khác nhau 2 Nhược điểm - Khu vực mình ở thì không hỗ trợ lắp đặt nên phải mày mò khá lâu  tầm 1-2h  - Cần lưu ý: Nhắc kỹ nhân viên giao hàng phải DỰNG thẳng sản phẩm trong suốt quá trình vận chuyển Nếu không cẩn thận sẽ làm cong 4 con ốc giữ phía sau máy giặt và làm ảnh hưởng tới lồng quay của máy giặt Nói chung là vẫn rất hài lòng Cám ơn Tiki :D ,
máy  đẹp   nhân viên siêu nhiệt tình chở xe  2 5  tấn chở  máy   nhưng đường vào nhà nhỏ nên kéo xe kéo khá  xa   anh nhân viên luôn vui vẻ và cười tươi máy thì  đẹp   ngày sản xuất khá mới mình rất ưng cảm ơn tiki trading ,
Mua hơn 1 năm giờ mới lên đánh giá - ưu điểm: nhiều chức năng   nhưng mình dùng mỗi 1 chức  năng    máy chạy  êm   sàn nhà mình không phẳng nên mất mất tháng mới chọn được vị trí cân đối! - nhược: do chỉ cần dùng mỗi 1 chế độ nên máy này có nhược điểm là không lưu được chế độ hoặc có 1 nút chọn  nhanh   lần nào mở náy cũng phải setup lại từ đâu - 2 là lúc lắp đôi thợ tư vấn mua chân  inox   nhưng sau đó nghiên cứu mới thấy là dùng chân này mà vắt  1400v/p  thì máy giặt dịch chuyển điên  đảo   nên phải tháo bỏ chân đi => a e lưu ý khi lắp đặt nhé ,
Mình có tham khảo rất kỹ nên mới quyết định mua của tiki Nhưng lần này m thực sự thất vọng Nhà m ở tập  thể   m có note rõ địa chỉ là '' tầng 3'' nhưng khi giao hàng đến thì chỉ có 1 người và không thể đưa lên tầng 3 được và để ở dưới đường và đi về Làm m phải thuê người để đưa lên Rất thất vọng về dịch vụ giao hàng của tiki ,
Mình mua máy giặt từ 29/09 hạn giao là 02/10 Tuy nhiên thì muộn hơn 1 ngày là 03/10  cái này thì không có gì đáng ngại  Cái bất hợp lý nhất là máy giặt vận chuyển đến nhưng để dưới nhà và bảo khách tự mang lên tầng 5  trọng lượng máy 62kg  Bộ phận vận chuyển & lắp đặt tách riêng biệt nên khi hỏi ai sẽ phụ trách mang lên thì đùn đẩy trách nhiệm cho nhau Vậy mình không hiểu tiki ghi miễn phí vận chuyển và lắp đặt để làm gì  Tính phí cồng kềnh để giải quyết vấn đề gì   Nếu sau này mình có mua đồ điện máy thì khả năng tiki không phải là lựa chọn sáng suốt ,
Giao hàng chậm trong khi đó đã mất thêm 140k tiền phí giao hàng cồng kềnh mà ngay nội  thành   nhân viên lắp đặt thái độ rất chán không nhiệt tình bỏ bom làm khách chờ 2  hôm   gọi điện không thèm nghe  máy   cảm giác chỉ làm cho xong rồi về Đi mua hàng là thượng đế mà như kiểu đi xin :D ,
không nhận được sự hỗ trợ nào từ bên vận chuyển lẫn bên lắp đặt mình mua máy ngày 12/12 đến 17/12 mới nhận được  hàng   nhân viên vận chuyển chỉ đến và để máy ở cửa      nhân viên lắp đặt thì yêu cầu tự đưa máy đến nơi cần  lắp   bao h đưa máy đến nơi thì họ sẽ quay lại lắp đặt nhân viên tổng đài thì không đưa ra giải pháp cụ thể hỗ trợ mà chỉ hứa hẹn liên hệ với bên lắp đặt cực kỳ thất  vọng   yêu cầu trả hàng hoàn tiền thì kêu là mặt hàng hạn chế đổi trả    vậy mình muốn hỏi tiki là mình để cái máy giặt ở cửa nhà thì sử dụng ntn    ,
Nhân viên giao hàng mop méo Gọi tổng đài tạo đơn đổi trả thì lý do hàng nặng không chịu chuyển gọi phản ánh tổng đài Như kiểu Tiki từ chối nhận lại hàng lỗi do giao hàng Thất vọng vì tiki Cứ tình trạng giao hàng lỗi mà đổi trả không đc thế này chắc sau này sẽ không mua hàng ở tiki nữa ,
Hàng cứng  cáp thao  tác lắp dễ dàng Nhưng có những chỗ gia công hơi lởm vị trí khoan lỗ trên thanh sắt  inox  có cái không khớp bới khung nhựa bọc ngoài  lệch khoảng  1 5mm   dẫn đến việc bắt vít không khớp đc hết  có khoảng 2/8 vít bị  Và vẫn bị rung lắc mạnh vừa ,
Giao hàng không đúng mô tả sản phẩm Loại khác hình đã  đăng   chân nhựa rất tạm bợ như đồ  chơi   đặt 55x77 giao 48x60 Quá thất vọng Tiki dạo này không còn như  trước   shop bán qua Tiki giờ chất lượng kém ,
tiki vui lòng xem lại những shop bán hàng không đủ chất lượng sản phẩm và loại shop đó ra khỏi trang bán hàng để làm giảm uy tín nhé Sản phẩm là kệ inox cao cấp đế bàng inox     nhưng sản phẩm nhận được lại là đế bằng nhựa     chất liệu nhựa cũng rất xấu     tại sao lại lừa khách hàng như thế  thanh inox giống thanh nhôm không cứng lắm    hoàn toàn khác xa với hình cũng như nhà sản xuất     thật sự không chấp nhận được    ,
Mình mua loại viền trắng nhưng lại giao full  đen   chân bằng nhựa chứ không phải inox như trong ảnh Lên xem nhận xét thì thấy nhiều người cũng bị giống mình Sao tiki không xử lý sớm đi nhỉ Phí ship tận 30k mà mua hàng chả thấy hài lòng gì cả ,
ghi là inox cao cấp mà mình nhận là nhôm & rất mỏng manh mình order kích thước  55-77cm   Tiki giao ghi rõ bên ngoài y kích thước  luôn   nhưng mở ra cái hộp là 48-60cm rất nhỏ rất không hài lòng ,
Đặt hàng kệ chân đế máy  giặt   tủ lạnh inox cao cấp  55x77cm   inox dày 1mm Thực tế nhận hàng kích thước không đúng đơn đặt  hàng   kích thước thực tế là 48x60cm và thanh inox chỉ dày 5 dem  tức  0 5  mm  ,
Mua hàng mà đưa thiếu 1 đinh  vít   1 đinh vít bị  hỏng   muốn bán cho nhanh mà không kiểm tra hoặc cố tình như thế Đề nghị tiki xem lại đi nhé! Nếu còn gặp trường hợp này lần nữa thì sẽ không mua trang tiki nữa! ,
Hàng cực tốt Xài rất êm  máy   không rung lắc và dễ lắp ráp theo kích cỡ trong tầm 55-77cm Khung inox  chắc   đệm cao su chống rung tốt Rất hài lòng với sp Bonus cái ki hốt rác  ,
Sản phẩm đúng như hình Rất chắc chắn Mua dùng cho máy giặt LGFC1409S2W Tuy nhiên khi dùng máy giặt quay kêu to như ngựa Đành phải bỏ ra Không biết có được hoàn trả lại hàng không   ,
cực kỳ không hài lòng với đối tác lắp đặt máy lạnh của Tiki khi tới lắp thấy mình có sẵn ống đồng thì tỏ rõ thái độ khó  chịu   rồi đòi phí vệ sinh ống đồng 500  nghìn   sau đó gợi ý lắp ống mới vì giá tương đương  3m ống  lắp cục nóng thì kêu như máy xay  gạo   rung ầm ầm mình bảo kiểm tra lại thì nói máy lạnh mới nó  vậy   để vài ngày là hết nhưng tới nay đã 2 tuần vẫn còn kêu Đề nghị Tiki cho người qua kiểm tra lại giúp tôi ,
nhà mình chung cư đường ống có  sẵn   thà tiki đừng miễn phí lắp  đặt   đã miễn phí thì kỹ thuật phải đàng hoàng đến lắp bảo phải xúc ống đồng máy lạnh đòi 300k mình không đồng ý thế cũng miễn cưỡng lắp Được mấy lần đầu bật thì  mát   đến bây giờ hết mát luôn Kỹ thuật không lắp mà còn phá thì chịu thua luôn ,
Hôm  nay   nhân viên lên lắp đặt máy lạnh cho căn hộ của  tôi   báo là cần xúc ống đồng gì  đó   và tốn phí  300 000VND   nhưng khi tôi hỏi xuất hóa đơn thì báo là tiki  xuất   tôi gọi lên tổng đài tiki 2 lần thì báo là bên đối tác lắp đặt xuất Sau khi gọi qua lại  2   3  lần   tôi chưa được cung cấp thông tin đối tác lắp đặt là ai  đơn vị nào  tại sao không xuất hóa đơn phí dịch vụ xúc ống đồng cho tôi Tôi lại gọi cho chính kĩ sư trưởng tòa  nhà   báo là căn hộ cao  cấp   lắp sẵn dây  đồng   không lý nào lại cần xúc ống đồng   Tôi tin rằng hành đồng này hoàn toàn không hợp lý và cần 1 lời giải thích rõ ràng nhất Cuối  cùng   tôi không đồng ý dịch vụ xúc ống đồng vì tôi không tin tưởng phía lắp đặt Tôi chỉ tin anh kĩ sư trưởng vì anh ấy tư vấn cho tôi hoàn toàn miễn phí và hoàn toàn không có 1 lợi ích gì từ việc này Tiki vui lòng cho 1 lời giải thích rõ  ràng   cụ thể vì đây cũng là việc làm ăn kinh  doanh   ảnh hưởng đến uy tín của tiki Cảm ơn ,
Về thương hiệu và chất lượng Sharp thì không có gì phàn nàn Tuy  nhiên   cục nóng sẽ hơi ồn hơn so với cùng công suất của những thương hiệu khác Về giao  hàng   phải gọi bên chăm sóc khách hàng để hối vụ lắp đặt Sau đó thì gặp được bạn nhân viên lắp đặt vui  vẻ   dễ tính và cẩn thận kĩ lưỡng ,
Máy giao nguyên đai nguyên  kiện   chất lượng cũng ok Nhưng thật sự bức xúc cái chuyện giao hàng  trễ   khách hàng đã đặt  Now   chấp nhận trả phí để nhận gấp thế mà vẫn giao trễ May là a shipper cũng nhiệt tình dễ  thương   anh lắp đặt cũng rất là ok luôn Chứ thôi chắc huỷ luôn cái đơn cho rồi Haizzzzzz ,
Vừa lắp máy  xong   chạy test thử thì cục nóng kêu rất ồn Nhân viên lắp ráp cũng bảo có vấn đề nhưng không dám kiểm  tra   cần bên hãng kiểm tra mới đúng thủ  tục   đã có ghi thông tin và tiki đã liên hệ xác nhận tình trạng Thông tin sẽ có bên hãng Sharp xuống kiểm tra có phải lỗi không nhưng đã 4 ngày chưa ai đến kiểm tra Đã liên hệ với tiki lần 2 hôm  nay   nhưng vẫn không có phản hồi thoả đáng! Tình trạng sử dụng trong lo lắng liệu có an toàn không !!!  ,
Ok máy    lạnh K lạnh thì chắc là máy nóng Này là cái thứ 2 lắp phòng bên cạnh của phòng bên cạnh Khi nào có vợ có con sẽ lắp thêm phòng bên cạnh phòng bên cạnh của phòng bên cạnh hiện đang mát và ngủ rất ngon Xin hết ,
Chi phí vật tư phát sinh  cao ống  đồng phải mua 3m trở lên mới được bảo  hành tổng  chi phí phát sinh là gần 700k cộng với giá thành sản phẩm không rẻ hơn giá thị trường ,
Máy chạy  tốt   rất mát và dễ chịu Giao hàng vui vẻ nhiệt  tình   giúp mang lên tận phòng chung cư Lắp đặt ngay hôm  sau   thao tác nhanh gọn  hơn 1 tiếng  thôi    thái độ vui vẻ ,
sản phẩm không như mong đợi Lạnh rất yếu Không biết giờ tính  sao   mong hãng xuống xem gấp chứ như vậy có máy lạnh mà như không ,
Mình nhận hàng vào chiều thứ  6   đến hết ngày thứ 7 không thấy ai qua lắp  đặt   sáng chủ nhật mình mở hộp ra tính tự lắp thì nhận ra rằng mặt kính của TV phần dưới bị vỡ  ảnh đính kèm  Mình lập tức gọi điện và email cho Tiki Tiki nói sẽ xem xét và đến hôm nay trả lời là không giải quyết Trang chăm sóc khách hàng của Tiki nói là sẽ đổi trả nếu liên hệ trong vòng  48h   nhưng mình làm đúng theo như  vậy   bây giờ tiền mất tật mang với chiếc TV vỡ này Nếu như bạn đang đọc những dòng  này   có nghĩa là Tiki vẫn CHƯA giải quyết cho mình Mình hy vọng Tiki làm đúng với lương tâm Còn nếu như Tiki nhất quyết không đổi  mình sẽ không xoá bài  này    hy vọng các bạn mua cảnh  giác   đừng bị tiền mất tật mang như mình Mã đơn hàng: 603459947 Ngày đặt hàng: 03/02/2020 Giao hàng ngày thứ  6   07/02/2020 ,
chọn sp của điện máy  city   hàng chính  hãng   sản xuất tháng 7  2019   nguyên seal nhân viên giao hàng nhiệt tình nhưng mình tự lắp đặt vì nhân viên bận đếm  tiền   toàn tờ 100k :  đặt thứ 7 thì sáng thứ 2 đầu tuần đã có  hàng   nhanh hơn dự kiến 1 ngày ,
Mình mua đồ tiki hoài Lần đầu tiên nhận được hàng kiều vầy Tivi bị một mảng to trên tivi và nguyên vết dọc và vết ngang Mình thấy thất vọng vì trc giờ mua đồ diện tủ của tiki lần đầu nhận đc sản phẩm lỗi kiểu vầy ,
